"fuente","divipola","Municipio","Departamento","valor","nombre_del_proyecto","categoria","subcategoria","fecha_corte"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","DISEÑA TU FUTURO SIN MIEDO","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","INVENTARIO: WALE´KERU Y GEMA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","ORFF MUSIC-LA INICIACION","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","SISTEMATIZACIÓN DEL PROCESO FORMATIVO, ARTÍSTICO Y PROFESIONAL EN ARTES ESCÉNICAS CON POBLACIÓN EN SITUACIÓN DE DISCAPACIDAD COGNITIVA Y VISUAL","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","ARTE  TRASFORMANDO VIDAS, SISTEMATIZACIÓN PEDAGOGÍCA DRAMÁTICA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","CULTURA AL RUEDO","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","CORPOGRAFÍAS: TERRITORIOS EN CONEXIÓN CON EL ESCENARIO CALLE","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","CORPOGRAFÍAS: TERRITORIOS EN CONEXIÓN CON EL ESCENARIO CALLE","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","ESCUELA INTERACTIVA BATUCADA “TAMBORES SONANDO DESDE LA DISTANCIA”","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","#CREATE_EN_CA SA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","FORMARTE CON RECICLARTE","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","LA RUTA DEL PALADAR","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","DESDE LA TERRAZA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","TEJIENDO ESCENA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","PERICLES CARNAVAL: Historia de los carnavales estudiantiles en los años 20 y 30 del siglo XX, en Bogotá.","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","LABORATORIO DE CULTURA FESTIVA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","Laboratorio de creación transdisciplinar: un espacio de formación para el fortalecimiento de la cultura festiva  en la Localidad cuarta San Cristóbal.","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","25,000,000","MANIGUA ESCUELA DE COMPARSA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
